UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
1	0
0	1
0	0
0	0
3	0
1	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
11	1
0	0
0	0
9	0
0	0
0	0
0	0
0	2
0	1
0	0
0	1
4	0
0	0
0	0
0	1
2	2
0	0
0	0
0	0
18	0
3	0
4	0
0	2
0	2
0	0
1	0
0	0
0	0
0	0
2	0
0	0
11	0
4	4
1	0
0	0
0	0
0	0
4	0
1	0
0	0
0	0
0	0
20	2
0	2
0	0
0	0
0	5
1	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
1	0
3	3
4	0
10	0
1	0
0	0
56	1
0	5
6	0
0	0
4	0
0	1
0	1
6	0
43	0
0	0
0	2
0	0
1	1
0	1
2	0
0	0
1	0
0	0
0	0
0	0
0	2
0	2
0	0
0	5
0	1
0	2
3	0
1	3
0	3
0	0
0	0
0	2
9	62
0	0
0	59
0	52
0	48
0	0
10	942
0	0
0	0
0	0
0	0
0	2
0	3
0	2
58	0
0	0
0	982
0	994
8	170
2	695
7	47
1	1
0	0
0	242
0	244
4	35
0	8
0	29
0	0
11	52
0	49
100	2215
0	48
1	2094
1	3020
0	48
0	403
1	2666
0	2100
0	3025
0	2095
0	3001
0	0
7	1542
0	1905
1	38
29	98
0	97
0	97
0	2
0	0
9	2
10	26
4	32
1	2
1	11
0	0
18	37
0	37
0	0
0	0
0	239
66	7
9	239
0	239
29	145
2	240
0	0
0	0
213	87
162	0
39	109
0	109
0	95
157	95
67	4
9	7
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
3	0
9	0
2	0
2	0
1	0
0	0
0	0
15	0
23	11
0	10
0	10
0	8
2	290
151	290
1432	7
32	130
610	137
109188	1076
0	520
24	462
0	487
359	133997
19883	134119
0	281
48	283
167	0
0	0
5	191
19	191
1	0
0	0
0	0
14	1
26079	2811
0	0
0	0
0	175
1	0
0	42
0	1010
0	1337
3	0
867	41
0	502
380	16
0	2419
23	0
4	0
61	4
4	0
1970	73
6	17
0	2
703	54
0	700
0	1035
0	0
0	0
0	80
72	11
182	13
193	388
238	32
0	0
544	449
2591	33
0	1157
0	204
109	204
47	82
200	7
0	5
0	5
394	581
0	581
0	1
371	12
0	23
0	24
12	45
0	45
1182	14
53	7
2031	90
0	1
0	1
2	7
377	5
6	229
168	240
0	0
3	0
12	153
0	122
0	1570
194	259
89	0
0	2
0	2
0	0
0	0
0	2
0	2
2	39
0	0
0	814
0	0
0	0
915	16
186	1035
0	0
0	0
1	0
