UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	7
1	0
0	2
0	0
0	0
1	0
5	0
9	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
14	0
7	0
0	4
36	1
0	0
0	0
0	0
0	3
0	2
0	2
0	8
12	0
2	4
1	3
0	1
2	2
0	0
0	0
0	0
12	0
0	0
16	0
0	1
0	3
0	9
1	0
0	0
0	0
0	14
5	14
2	1
41	1
6	1
7	0
0	2
0	0
0	0
23	2
1	0
1	0
0	0
0	0
24	0
0	2
0	3
0	2
0	11
7	0
0	0
0	0
0	2
0	0
0	0
0	8
0	1
1	9
0	3
3	0
18	0
3	0
14	0
0	0
0	0
59	0
0	13
24	0
0	0
3	0
6	7
0	7
21	2
17	0
0	0
0	2
1	3
0	5
0	5
1	1
0	1
0	0
0	0
0	3
0	0
0	2
0	2
0	0
0	13
0	2
0	4
3	0
6	13
0	12
0	0
0	0
0	15
77	173
3	5
0	155
0	132
0	119
0	0
3	1076
0	0
0	0
0	0
0	0
0	4
0	6
0	4
91	7
0	0
0	1040
0	1050
4	275
3	678
28	171
0	0
0	0
6	566
0	572
2	151
0	68
0	93
0	0
27	230
0	210
74	1880
0	50
0	1772
0	2601
1	50
0	533
0	2156
0	1780
0	2605
0	1776
0	2592
0	0
8	1928
0	2248
0	54
29	108
0	103
0	99
0	2
1	1
3	2
7	38
7	42
3	2
0	12
0	0
27	27
0	26
0	0
0	0
0	221
101	9
3	221
0	221
12	156
0	222
0	0
0	0
291	186
141	0
114	236
0	236
0	247
240	248
99	0
22	42
0	42
10	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	6
0	6
16	0
22	0
12	0
1	0
2	0
0	0
64	0
336	3
796	912
2	756
0	851
0	680
0	463
276	463
2327	8
427	1124
4653	1315
116601	1307
0	7517
280	6909
0	7062
1037	132459
13453	132525
8	3002
261	3005
457	9
0	0
340	3467
328	3468
13	0
0	0
0	1
43	1
23971	4578
0	0
0	0
0	185
1	0
0	165
0	2350
1	2922
1	0
1483	120
3	675
381	21
0	6245
24	0
0	0
127	8
14	0
1017	170
234	83
0	6
1119	38
0	1207
0	1860
0	0
0	0
0	413
13	38
612	40
95	409
217	62
0	0
1395	922
744	32
0	2259
0	82
43	83
182	294
18	6
1	4
0	4
302	518
0	513
2	5
1100	57
8	67
0	67
104	348
0	348
2198	56
207	51
497	71
26	100
0	100
77	33
322	2
20	632
384	648
0	5
5	5
145	538
0	468
0	2787
94	233
609	11
0	2
0	2
0	0
0	0
10	30
0	30
10	91
0	1
0	1025
0	2
0	2
1359	11
