UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
4	0
0	1
3	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
31	0
2	0
0	1
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	1
1	0
0	1
0	0
0	1
0	0
0	0
3	0
2	0
1	0
0	1
0	0
0	4
1	0
0	0
0	0
0	1
1	1
0	0
8	0
4	0
3	0
0	0
0	0
0	0
2	0
2	0
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	2
1	0
0	0
0	0
0	0
0	8
0	8
0	0
0	0
0	4
0	0
0	0
2	0
0	0
5	0
0	0
0	1
79	0
0	2
2	0
0	0
1	0
0	4
0	4
5	0
12	0
0	0
0	0
0	6
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	2
0	0
0	2
0	0
0	1
0	1
0	0
0	0
0	1
4	26
0	0
0	25
0	23
0	17
0	0
4	340
0	0
0	0
0	0
0	0
0	5
0	5
0	1
682	79
0	0
0	485
0	492
3	35
0	454
5	70
0	0
0	0
0	758
0	758
0	80
0	32
0	61
0	0
23	122
0	96
16	335
0	90
0	318
0	414
0	90
0	179
0	337
0	318
0	414
0	318
0	414
0	0
1	783
0	734
1	61
19	77
0	77
0	77
0	4
0	0
2	4
2	17
2	17
2	3
0	3
0	0
3	14
0	14
0	0
0	0
0	61
56	3
2	61
0	61
2	44
0	64
0	0
0	0
122	13
97	0
45	22
0	22
0	64
64	64
82	1
3	18
0	18
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	2
0	2
6	0
5	0
4	0
0	0
0	0
0	0
3	0
25	0
61	54
0	52
0	54
0	51
3	352
40	352
715	0
14	128
176	137
49039	11
0	398
17	359
0	393
65	21600
2368	21600
0	27
12	28
426	12
0	0
1	214
33	214
5	0
0	0
0	0
16	0
5810	1851
0	0
0	0
0	141
0	0
0	73
0	1496
0	1730
0	0
873	59
0	272
84	2
0	3075
5	0
0	0
11	0
2	0
110	19
9	2
0	7
94	3
0	620
0	681
0	0
0	0
0	17
23	17
74	15
70	56
36	0
0	0
413	135
112	1
0	673
0	56
17	56
12	145
26	0
0	7
0	7
32	55
0	55
0	1
104	17
0	9
0	9
0	2
0	2
369	8
16	4
844	12
0	0
0	0
0	3
18	0
0	166
13	168
0	9
0	9
11	63
0	56
0	124
0	31
103	0
0	1
1	1
0	0
0	0
0	2
0	2
0	24
0	0
0	131
0	0
0	0
175	0
41	681
1	0
2	0
1	0
0	728
0	0
145	43
32	36
0	36
