UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
4	0
0	0
1	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	2
1	2
0	0
0	0
0	0
0	0
0	0
1	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
1	0
1	0
1	0
0	0
8	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
4	0
0	0
0	2
0	0
0	0
0	0
0	2
0	2
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	1
0	1
0	0
0	0
0	4
19	41
0	1
0	37
0	28
0	17
0	0
6	1482
0	0
0	0
0	0
0	0
0	1
0	1
0	1
45	2
0	0
0	114
0	114
0	17
1	85
1	38
0	0
0	0
1	133
0	134
0	26
0	12
0	14
0	0
6	22
0	19
18	1123
0	31
0	1051
0	1518
0	31
0	286
0	1263
0	1053
0	1520
0	1051
0	1520
0	0
8	924
0	1162
2	83
19	153
0	152
0	152
0	3
0	1
7	3
0	6
5	10
0	0
0	6
0	0
1	2
0	2
0	0
0	0
0	151
46	4
7	152
0	151
23	94
0	152
0	0
0	0
41	9
28	0
14	19
0	19
0	14
30	14
30	0
4	13
0	13
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	1
0	1
4	0
3	0
1	0
0	0
0	0
0	0
0	0
9	0
9	15
0	11
0	15
0	14
0	609
203	610
1838	3
13	40
141	43
44163	366
0	349
17	312
0	335
198	55050
6431	55076
0	13
3	13
868	10
0	0
10	381
49	381
1	0
30	0
0	0
17	0
28284	3825
0	0
0	0
0	176
0	0
0	63
0	1017
0	1288
0	0
649	44
0	466
271	11
0	2595
33	0
2	0
87	1
6	0
34	11
4	1
0	1
133	1
0	1285
0	2003
0	0
0	0
0	8
4	21
42	1
161	325
426	50
0	0
350	262
46	10
0	2351
0	21
15	21
9	24
14	1
0	0
0	0
23	37
0	37
0	1
384	24
18	55
0	55
12	59
0	59
407	4
14	5
696	40
0	2
0	2
9	3
12	0
1	67
28	67
0	74
53	74
16	59
0	55
0	345
28	88
221	2
0	0
0	0
0	0
0	0
1	2
0	2
0	10
0	0
0	67
0	0
0	0
479	21
242	2003
1	0
0	0
3	0
0	3173
