UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	0
7	0
0	0
4	0
0	0
0	1
1	3
0	0
0	0
0	2
0	2
8	0
1	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
1	4
1	0
0	0
0	0
0	1
1	1
0	1
0	0
0	0
4	0
0	0
1	0
0	1
0	0
0	2
2	0
0	0
0	0
0	0
0	0
0	0
3	0
5	0
2	0
0	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
3	0
0	1
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	2
0	2
0	4
0	0
0	2
0	0
0	0
6	0
2	2
22	0
1	0
0	3
28	1
0	1
1	0
0	0
2	0
0	1
0	1
6	0
12	0
2	0
0	1
0	1
1	2
0	2
1	1
0	1
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	1
0	2
0	0
0	0
0	2
0	2
0	0
0	0
0	9
16	66
0	4
1	57
0	46
0	40
0	0
1	1922
0	0
0	0
0	0
0	0
0	0
0	0
0	0
617	37
1	0
0	77
0	77
0	18
0	54
7	53
0	0
0	0
3	270
0	270
0	66
0	28
0	46
0	0
11	96
0	76
26	2097
0	122
1	2007
0	2829
0	120
0	628
1	2323
0	2011
0	2833
0	2007
0	2828
0	0
17	1460
0	1778
2	84
28	142
0	136
0	135
1	6
0	1
6	6
4	18
5	20
2	3
0	6
0	0
6	12
0	11
0	0
0	0
0	184
70	6
17	184
0	184
11	120
2	186
0	0
0	0
89	25
89	1
36	32
0	32
0	58
53	58
104	0
3	14
0	14
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	2
0	2
5	0
13	0
4	0
2	0
0	0
1	0
0	0
10	0
49	67
0	51
0	63
0	56
1	286
108	286
4207	19
22	32
115	35
34826	265
0	706
23	616
0	679
164	47999
5401	48020
0	14
2	14
360	3
0	0
6	59
3	59
1	0
9	0
0	0
35	0
26224	5438
0	0
0	0
0	221
2	0
0	163
0	1538
0	1903
0	0
1253	95
1	704
424	22
0	4911
18	0
2	0
92	4
3	0
118	28
10	4
0	16
139	7
0	2140
0	3113
0	0
0	0
0	29
1	4
116	4
49	101
79	21
1	0
133	238
193	5
0	910
0	3
1	3
47	129
12	0
0	1
0	1
11	10
0	10
0	0
82	7
0	12
0	12
23	50
0	50
151	10
176	23
667	36
0	2
0	2
0	16
23	1
1	41
20	50
0	0
2	0
40	110
0	101
0	793
104	315
71	1
0	0
0	0
0	0
0	0
0	0
0	0
3	89
0	0
0	182
0	0
0	0
206	4
333	3113
0	0
0	0
3	0
0	1014
