UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
5	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
6	0
3	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
2	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
1	1
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
3	2
4	0
4	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
3	0
0	1
0	1
0	0
0	1
1	0
0	1
0	1
0	0
1	1
0	1
0	3
0	0
0	0
0	0
1	0
2	0
1	1
10	0
0	0
0	0
25	2
0	1
1	0
0	0
0	0
1	2
0	2
5	0
15	0
1	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	1
0	0
0	0
4	0
1	1
0	1
0	0
0	0
0	3
26	35
1	0
0	32
0	26
0	24
0	0
6	1295
0	0
0	0
0	0
0	0
0	3
0	3
0	3
781	44
0	0
0	97
0	97
1	32
0	60
3	39
1	0
0	0
5	259
0	260
0	58
0	20
0	38
0	0
11	58
0	54
55	2147
0	124
0	2031
0	2931
0	124
0	602
2	2456
0	2037
0	2937
0	2031
0	2934
0	0
13	1627
0	1909
1	95
47	162
0	157
0	153
1	5
0	1
8	5
7	34
6	38
1	1
0	8
0	0
9	22
0	22
0	0
0	0
0	279
118	12
20	279
0	279
19	161
0	285
0	0
0	0
86	37
93	1
32	49
0	49
0	30
33	30
88	0
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
1	0
3	0
2	0
0	0
0	0
0	0
0	0
10	0
10	12
0	11
0	12
0	9
0	175
68	175
1485	7
4	6
48	6
9198	80
0	395
16	342
0	378
29	10982
1432	10985
0	5
3	5
490	10
0	0
3	173
28	173
5	0
15	0
0	0
18	0
25223	4105
0	0
1	0
0	192
0	0
0	104
0	1086
0	1391
0	0
1910	92
1	489
381	12
0	3477
51	0
5	0
64	6
1	0
16	10
0	0
0	2
40	1
0	793
0	1183
0	0
0	0
0	2
3	2
34	3
7	46
12	3
0	0
126	102
22	2
0	194
0	6
4	6
23	42
16	0
0	0
0	0
1	11
0	11
0	0
58	4
0	2
0	2
0	0
0	0
60	1
2	0
54	12
0	0
0	0
1	0
6	0
0	16
10	16
0	0
0	0
23	58
0	52
0	81
0	2
189	0
0	0
0	0
1	0
0	0
0	1
0	1
0	3
0	0
0	63
0	0
0	0
101	1
177	1183
0	0
2	0
2	0
0	228
0	0
