UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
16	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
15	0
3	0
0	2
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
2	0
0	2
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
1	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	4
0	0
0	0
0	0
0	1
0	1
0	2
0	5
0	5
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
39	0
0	4
0	0
0	0
0	0
2	1
0	1
2	0
5	0
1	0
0	0
1	4
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	2
0	2
0	0
0	0
0	3
10	30
1	1
0	27
0	18
0	16
0	0
3	485
0	0
0	0
0	0
0	0
0	1
0	1
0	0
297	47
0	0
0	47
0	49
0	4
0	45
0	35
0	0
0	0
1	221
0	222
0	29
0	10
0	23
0	0
2	36
0	24
18	235
0	69
0	220
0	286
0	68
0	132
1	231
0	220
0	286
0	220
0	286
0	0
0	403
0	423
0	45
12	58
0	57
0	56
0	4
0	1
1	4
2	26
3	27
1	1
1	5
0	0
3	2
0	2
0	0
0	0
0	63
60	1
0	63
0	63
2	45
0	64
0	0
0	0
31	10
59	0
4	12
0	12
0	28
20	28
70	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	2
0	2
2	0
1	0
1	0
0	0
0	0
0	0
0	0
9	0
15	30
0	29
0	30
0	26
6	317
38	317
573	1
6	48
81	49
28118	35
0	257
10	235
0	248
48	11926
1259	11928
0	7
2	7
431	8
0	0
4	75
11	75
1	0
2	0
0	0
46	2
7408	1999
0	0
1	0
0	142
0	0
0	133
0	2635
0	2977
0	0
1997	81
1	391
133	8
0	7024
14	0
2	0
32	0
1	0
27	6
5	1
0	9
42	2
0	467
0	528
0	0
0	0
0	10
2	16
30	3
28	29
5	2
0	0
182	132
75	2
0	463
0	18
4	18
2	85
12	0
0	1
0	1
1	4
0	4
0	0
359	22
0	2
0	2
0	1
0	1
297	0
5	2
181	8
0	4
0	4
0	2
23	0
1	419
37	419
0	0
0	0
1	17
0	13
0	67
7	62
109	2
0	0
0	0
0	0
0	0
0	1
0	1
0	17
0	0
0	69
0	0
0	0
112	2
61	528
1	0
2	0
1	0
0	516
0	0
54	8
20	31
0	28
