UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
1	0
1	0
0	0
2	1
0	0
0	0
0	0
0	0
4	1
0	0
0	1
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
2	0
0	0
0	0
0	0
2	0
0	0
4	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
4	0
3	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	1
18	1
0	1
2	0
0	0
0	0
0	1
0	1
1	0
3	0
0	0
0	0
0	0
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
1	0
0	1
0	1
0	0
0	0
0	3
25	40
1	3
0	37
0	32
0	29
0	0
5	970
0	0
0	0
0	0
0	0
0	2
0	3
0	3
15	0
0	0
0	379
0	389
1	68
1	258
9	79
1	0
0	0
1	308
0	313
1	74
1	19
0	56
0	0
7	70
0	66
7	1000
0	24
0	959
0	1497
0	24
0	368
0	1155
0	961
0	1499
0	959
0	1499
0	0
8	1209
0	1572
1	86
20	170
0	170
0	169
0	2
0	0
3	2
0	16
4	18
0	0
0	2
0	0
6	5
0	5
0	0
0	0
0	102
7	1
4	102
0	102
5	53
1	102
0	0
0	0
71	33
47	0
19	37
0	37
0	47
64	47
34	0
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
2	0
6	0
0	0
1	0
0	0
0	0
0	0
28	0
185	182
0	145
0	174
0	137
3	365
114	368
1493	9
30	129
577	129
49169	374
0	1207
38	1060
0	1146
199	48227
6683	48255
0	29
10	29
942	6
0	0
5	274
30	274
4	0
57	1
0	0
26	0
22893	2008
0	0
0	0
0	129
1	0
0	72
0	1498
0	1867
0	0
385	24
0	473
118	8
0	5824
4	0
1	0
86	2
1	0
293	28
81	12
0	2
75	3
0	929
0	1638
0	0
0	0
0	9
1402	24
73	11
6	158
35	14
1	0
235	283
93	2
0	1135
0	8
4	8
46	68
3	0
268	822
0	822
24	46
0	46
5	2
606	16
1	4
0	4
2	8
0	6
161	1
24	0
170	21
0	1
0	1
1	0
109	6
2	170
91	170
0	29
21	29
219	468
0	462
0	643
0	9
463	9
0	0
0	0
0	1
0	1
12	34
0	33
1	13
0	0
0	707
0	0
0	0
950	8
291	1638
3	0
2	0
22	0
0	1392
