UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
5	0
0	0
6	0
0	0
0	0
10	0
0	0
2	0
0	0
1	0
0	0
0	0
0	0
4	0
1	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	3
3	18
1	2
0	15
0	15
0	10
0	0
1	833
0	0
0	0
0	0
0	0
0	0
0	0
0	0
330	12
0	0
0	25
0	25
0	4
0	19
2	9
0	0
0	0
0	46
0	46
0	10
0	4
0	5
0	0
2	22
0	20
15	954
0	33
0	905
0	1404
0	33
0	290
0	1154
0	907
0	1407
0	904
0	1406
0	0
3	736
0	989
0	29
7	61
0	59
0	59
0	2
0	1
5	2
2	21
4	22
1	2
0	5
0	0
2	10
0	10
0	0
0	0
0	119
33	3
9	119
0	119
7	85
0	121
0	0
0	0
46	9
53	2
17	14
0	14
0	12
19	12
63	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
1	0
1	0
0	0
0	0
0	0
0	0
2	0
2	4
0	2
0	4
0	3
0	54
21	55
180	4
2	7
19	7
8760	62
0	163
6	142
0	156
14	6718
1050	6725
0	2
1	2
121	0
0	0
0	52
5	52
1	0
5	0
0	0
11	0
15620	1226
0	0
0	0
0	156
0	0
0	41
0	878
0	1139
0	0
1075	30
1	383
398	8
0	2473
8	0
3	0
46	0
0	0
8	2
0	0
0	0
18	0
0	67
0	107
0	0
0	0
0	2
0	0
6	0
2	14
5	4
1	0
21	25
52	1
0	58
0	9
3	9
1	0
0	1
8	23
0	23
12	27
0	27
0	0
38	0
0	1
0	1
1	1
0	1
8	0
2	0
458	2
0	0
0	0
0	0
2	0
0	12
7	12
0	0
0	0
3	2
0	1
0	38
1	5
29	1
0	0
0	0
0	0
0	0
0	1
0	1
0	2
0	0
0	28
0	0
0	0
23	1
26	107
0	0
0	0
0	0
0	78
0	0
9	0
6	4
