UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
9	0
0	0
1	0
0	3
0	1
0	0
0	0
0	0
0	0
0	0
8	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
3	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
5	0
0	0
3	0
0	1
0	0
0	1
0	0
0	0
0	0
1	1
1	1
0	3
4	0
4	0
2	0
0	0
0	0
0	0
8	0
0	0
0	0
0	0
0	0
2	0
0	1
0	0
0	3
0	2
1	0
0	0
0	0
0	0
0	0
0	0
0	2
0	3
0	1
0	0
3	0
5	0
0	0
3	0
0	0
0	0
10	0
0	4
6	0
0	0
2	0
1	3
0	3
3	0
8	0
0	0
0	1
0	0
1	2
0	2
0	1
0	1
0	1
0	1
0	0
0	1
1	0
0	0
0	0
0	4
0	0
0	0
2	0
0	2
0	2
0	0
0	0
0	6
29	77
0	2
0	71
0	60
0	45
0	0
6	1507
0	0
0	0
0	0
0	0
0	1
0	1
0	0
8	1
0	0
0	384
0	387
0	79
0	254
22	104
0	0
0	0
0	328
0	333
0	80
0	29
0	51
0	0
6	126
0	118
16	1540
0	38
0	1451
0	2159
0	38
0	464
0	1724
0	1453
0	2161
0	1451
0	2161
0	0
2	1449
0	1798
0	138
38	219
0	216
0	212
0	3
0	1
10	3
2	18
4	22
0	0
0	6
0	0
2	14
0	14
0	0
0	0
0	196
30	10
21	196
0	196
9	134
1	194
0	0
0	0
72	38
35	0
26	53
0	53
0	65
57	65
37	0
2	12
0	12
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
1	0
2	0
4	0
2	0
0	0
0	0
0	0
168	1
255	261
0	220
0	244
0	203
1	284
153	285
1613	12
34	120
535	141
40024	503
0	2094
90	1892
0	1970
172	52180
4983	52208
0	131
15	131
384	11
0	0
6	437
58	437
7	2
92	4
0	0
16	0
35332	5169
0	0
1	1
0	156
3	0
0	146
0	1645
0	2085
0	0
406	82
3	631
240	4
0	6108
22	0
9	0
136	1
7	0
151	17
104	21
0	5
130	2
0	950
0	1507
0	0
0	0
0	180
68	14
98	3
19	275
50	16
0	0
292	827
156	7
0	1866
0	19
7	19
24	43
13	0
1	8
0	8
39	74
0	74
0	2
517	15
3	3
0	3
1	9
0	9
413	10
43	6
1116	72
3	10
0	10
11	5
245	8
9	420
157	424
0	6
4	6
24	55
0	47
0	881
32	65
598	9
0	6
0	6
0	0
0	0
0	2
0	2
1	35
0	0
0	792
0	0
0	0
278	5
207	1508
3	0
3	0
8	0
