UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
8	0
0	0
3	0
0	0
0	1
3	1
0	0
0	0
0	0
0	0
9	0
1	0
0	2
5	0
0	0
0	0
1	0
0	6
0	1
0	3
0	0
8	0
2	2
0	0
0	0
1	1
0	0
0	0
0	0
3	0
1	0
1	0
0	1
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
4	1
5	0
0	3
0	1
0	1
3	0
1	0
0	0
0	0
0	0
1	0
0	1
0	1
0	0
0	3
0	0
1	1
0	1
0	1
1	4
0	4
0	0
0	0
0	0
0	0
4	0
4	1
0	0
6	1
0	0
0	1
30	0
0	3
2	0
0	0
1	0
0	0
0	0
3	0
21	0
0	0
0	1
0	1
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	3
1	1
0	0
2	0
2	4
0	4
0	0
0	0
0	9
27	50
0	6
0	39
0	32
0	29
0	0
0	1311
0	0
0	0
0	0
0	0
0	4
0	5
0	5
510	26
0	0
0	49
0	50
0	12
0	35
8	54
0	0
0	0
3	238
0	241
1	70
0	26
0	45
0	0
3	65
0	60
24	1915
0	43
0	1790
0	2629
0	42
0	434
0	2230
0	1793
0	2631
0	1791
0	2628
0	0
7	1448
0	1818
0	53
11	105
0	103
0	102
1	4
0	0
4	4
2	19
4	25
0	0
0	8
0	0
5	17
0	17
0	0
0	0
0	174
31	1
13	174
0	174
6	110
1	174
0	0
0	0
97	37
90	3
30	52
0	52
0	40
59	40
102	0
0	8
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	1
0	0
7	0
2	0
2	0
1	0
1	0
1	0
26	0
10	12
0	9
0	10
0	8
4	179
116	180
2549	23
10	36
173	37
33492	507
0	553
21	492
0	522
90	40585
3800	40617
0	15
1	15
318	6
0	0
3	221
49	221
4	0
3	0
0	0
29	0
32712	4150
0	0
0	0
0	151
0	0
0	89
0	1378
0	1743
1	0
1429	68
0	627
632	15
0	4811
15	0
8	0
101	13
6	0
281	17
155	25
0	0
338	24
0	1196
0	2063
0	0
0	0
0	24
30	7
43	0
32	98
77	10
1	0
251	286
340	9
0	967
0	10
7	10
15	34
2	0
0	1
0	1
20	17
0	17
0	5
683	29
0	4
0	4
3	4
0	2
413	2
2	10
224	28
3	4
0	4
295	24
35	0
4	137
89	137
0	1
0	1
25	44
0	39
0	277
4	13
602	4
0	0
0	0
0	0
0	0
2	6
0	6
1	13
0	0
0	92
0	0
0	0
1609	29
432	2063
2	0
1	0
7	0
0	1258
